check_id,check_name,definition,result_status,autofilled,autofilled_fields,evidence_assets,value_summary,notes
R1,Coverage completeness,expected vs observed configs×n×seeds coverage,PASS,yes,count;per_n;configs_per_n,run_summary_table;T2_QA,"runs=2307/2307; per_n=32:690,64:690,128:690,256:237; cfg_per_n=32:69,64:69,128:69,256:26",Exact coverage required.
R2,"Seed support per (config,n)","min/median/max unique seeds in each config,n cell",PARTIAL,yes,seed_min;seed_median;seed_max,run_summary_table;T2_QA,"seeds_per_(config,n)=5/10/10",n<=128 expected 10/10/10; n=256 selective suite allows partial seeds.
R3,PAT config consistency across runs,all runs of same config share identical pat_config,PASS,yes,pat_config_consistency_all_configs,T2_QA,pat_config_consistency_all_configs=True,Configuration drift would invalidate condition-level claims.
R4,Scan min-support enforcement,rung drops due to support<5 across F3/F4 key curves,PARTIAL,yes,rungs_dropped;support_reason,F3_QA;F4_QA,"n32:baseline=[16]; n32:full_action=[16]; n32:full_all=[16]; n64:baseline=[32]; n64:full_action=[32]; n64:full_all=[32]; n128:baseline=[2, 64]; n128:full_action=[2, 64]; n128:full_all=[2, 64]; n256:baseline=[2]; n256:full_action=[2, 64]; n256:full_all=[2, 64]",Mid/low rung drops observed; interpret affected curves cautiously.
R5,Lagrange-probe missingness (n=128),overall missingness for lagr_geo_r2 and lagr_diff_kl,PASS,yes,missingness_geo;missingness_diff_kl;overall,F4_QA,geo=0.204; diff_kl=0.204; overall=0.204,PASS threshold: overall missingness < 0.25.
R6,Tau policy outcomes,tau range and active_tau_defined_rate across key configs and n,PASS,yes,tau_min;tau_median;tau_max;active_tau_defined_rate,F7_tau_stats;F7_QA,"tau_ranges=n32[1,1830],n64[1,632],n128[1,970],n256[1,4]; rates_reported=True",Differences across configs are expected; reporting completeness is required.
R7,Tau overlap feasibility,tau support overlap between baseline and full_action,FAIL,yes,overlap_count;jaccard,run_summary_table,"n32:overlap=0,jacc=0.000; n64:overlap=0,jacc=0.000; n128:overlap=1,jacc=0.143; n256:overlap=0,jacc=0.000",FAIL implies direct tau-controlled comparisons are not feasible without additional matching.
R8,REV prevalence and handling,REV rates per n and explicit handling in analyses,PASS,yes,REV_count;REV_rate,run_summary_table;F8_REV_stats,n32:6/690 (0.0087); n64:0/690 (0.0000); n128:0/690 (0.0000); n256:0/237 (0.0000),"REV is explicitly quantified and excluded where required (e.g., T5)."
R9,sigma_ratio missingness,availability of EP-retention proxy across key configs,PASS,yes,"missing_rate_per_(config,n)",F8_QA;F8_sigma_stats,n32:empty=0.00; n32:baseline=0.20; n32:full_action=1.00; n32:full_all=0.80; n64:empty=0.00; n64:baseline=0.10; n64:full_action=0.90; n64:full_all=0.80; n128:empty=0.00; n128:baseline=0.00; n128:full_action=0.00; n128:full_all=0.20; n256:empty=0.00; n256:baseline=0.00; n256:full_action=0.00; n256:full_all=0.00,PASS threshold uses n=128 full_action/full_all missingness <= 0.2.
R10,LOO integrity,loo_* configs differ by exactly one removed full_action cell,PASS,yes,loo_configs_valid_single_removal;loo_configs_total,F6_QA;loo_cell_map,valid_single_removal=22/22,Expected 22/22 for strict LOO interpretation.
R11,Headline metric effective N,"minimum n_eff across headline metrics per key config,n",PARTIAL,yes,"n_eff_min_per_(config,n)",T3_QA,n32:full_all=5; n64:full_all=7; n256:gen6_core_A12_A25=0,PARTIAL indicates reduced effective sample size for some config/n blocks.
R12,Anchor-rung k=4 probe coverage,N_pair min/max across six Spearman pairs at k=4,PASS,yes,N_pair_min;N_pair_max,T5_QA,n32:543-684; n64:649-690; n128:689-690; n256:237-237,"Thresholds: n32>=500, n64>=640, n128>=680, n256>=200 for N_pair_min."
